DESCRIPCION;LATIDUD;LONGITUD
 Aguas Claras 1                     ;4.468.403;-75.844.706
 Aguas Claras 2                     ;4.468.404;-75.844.706
 Alborada                           ;4.417.725;-75.785.369
 Aquiles                            ;4.500.861;-75.766.153
 Arabia 1                           ;4.483.953;-75.717.742
 Balsos                             ;4.321.494;-75.790.825
 Campeona                           ;4.625.567;-75.697.989
 Campeona 2                         ;4.625.567;-75.697.989
 Caracoli 1                         ;4.495.969;-75.773.758
 Caracoli 2                         ;4.495.969;-75.773.758
 El Espejo                          ;4.524.042;-75.761.794
 Encanto                            ;4.580.475;-75.674.936
 Korea 1                            ;4.485.497;-75.715.911
 Korea 2                            ;4.484.247;-75.719.847
 La Camila                          ;4.341.741;-75.865.526
Tarapaca;4.395.922;-75.759.447
 La Playa                           ;4.534.133;-75.827.319
 Maria                              ;4.397.539;-75.764.644
 Orinoquito 1                       ;4.505.431;-75.855.914
 Orinoquito 2                       ;4.507.844;-75.858.231
 Palomar                            ;4.441.528;-75.798.689
 San Jose                           ;4.583.664;-75.818.117
 San Julian                         ;4.479.073;-75.582.602
La Porcelana;4.479.073;-75.582.602
 Tejar                              ;4.441.528;-75.798.689
 Venecia 1                          ;4.490.728;-75.782.664
 Venecia 2                          ;4.491.783;-75.782.956
 Villa Laura                        ;4.626.386;-75.699.728
 Villa Olga                         ;4.625.861;-75.700.872
El Vergel;4.439.598;-75.841.087
La Fortuna;4.529.367;-75.754.762
Bosque;4.644.275;-75.608.675
Loteria;4.652.833;-75.637.828
Villa Colombia;4.499.081;-75.712.103
